,RBF-CAT,VAE-CAT,DEC-CAT
recon_error,"(112.49, 0.02)","(100.92, 0.616)","(48.6, 0.0)"
adv_error,"(100.07, 0.917)","(100.25, 0.935)","(106.26, 0.393)"
rot_error,"(102.46, 0.941)","(97.24, 0.279)","(82.33, 0.282)"
delta_rot,"(99.42, 0.97)","(84.77, 0.095)","(91.69, 0.911)"
