,recon_error,adv_error,rot_error,delta_rot
AE_vs_RBF-IN,0.0,0.087,0.0,0.0
AE_vs_RBF-CAT,0.02,0.917,0.941,0.97
AE_vs_VAE-IN,0.0,0.768,0.0,0.0
AE_vs_VAE-CAT,0.616,0.935,0.279,0.095
RBF-IN_vs_RBF-CAT,0.0,0.008,0.0,0.0
RBF-IN_vs_VAE-IN,0.001,0.0,0.011,0.0
RBF-IN_vs_VAE-CAT,0.0,0.0,0.0,0.273
RBF-CAT_vs_VAE-IN,0.0,0.345,0.0,0.0
RBF-CAT_vs_VAE-CAT,0.261,0.981,0.206,0.075
VAE-IN_vs_VAE-CAT,0.0,0.808,0.0,0.0
AE_vs_RBF-CAT_vs_VAE-CAT,0.003,0.914,0.303,0.136
All,0.0,0.0,0.0,0.0
