,Frozen,Trained
recon_error,"(66.92, 0.0)","(65.98, 0.0)"
adv_error,"(99.18, 0.004)","(101.85, 0.599)"
rot_error,"(104.89, 0.0)","(102.32, 0.0)"
delta_rot,"(99.23, 0.299)","(100.32, 0.095)"
