,Frozen,Trained
recon_error,"(40.14, 0.0)","(60.99, 0.0)"
adv_error,"(91.71, 0.0)","(98.05, 0.513)"
rot_error,"(93.07, 0.0)","(109.94, 0.0)"
delta_rot,"(105.67, 0.886)","(101.37, 0.889)"
