,Frozen,Trained
recon_error,"(46.47, 0.0)","(69.07, 0.0)"
adv_error,"(96.42, 0.0)","(98.63, 0.015)"
rot_error,"(85.98, 0.0)","(108.32, 0.0)"
delta_rot,"(51.79, 0.0)","(90.84, 0.663)"
