,RBF,VAE,DEC
recon_error,"(397.77, 0.0)","(247.53, 0.0)","(172.77, 0.117)"
adv_error,"(101.55, 0.002)","(98.85, 0.272)","(104.77, 0.025)"
rot_error,"(140.29, 0.0)","(129.39, 0.0)","(111.71, 0.062)"
delta_rot,"(143.19, 0.0)","(260.38, 0.0)","(138.36, 0.0)"
