,Frozen,Trained
recon_error,"(62.11, 0.0)","(105.22, 0.0)"
adv_error,"(86.93, 0.0)","(93.54, 0.208)"
rot_error,"(110.41, 0.0)","(115.28, 0.0)"
delta_rot,"(154.89, 0.224)","(97.48, 0.012)"
