,Frozen,Trained
recon_error,"(40.86, 0.0)","(65.53, 0.0)"
adv_error,"(99.12, 0.0)","(104.68, 0.0)"
rot_error,"(116.2, 0.0)","(140.71, 0.0)"
delta_rot,"(110.43, 0.176)","(106.43, 0.233)"
