,Frozen,Trained
recon_error,"(46.82, 0.0)","(68.43, 0.0)"
adv_error,"(103.41, 0.0)","(105.22, 0.0)"
rot_error,"(105.83, 0.049)","(124.81, 0.0)"
delta_rot,"(55.04, 0.003)","(94.14, 0.0)"
