,Name,Reconstruction error,Adversarial error,Rotational error,Sum of rotation angle x,Sum of rotation angle y,Avg Sum position cost x,Avg Sum position cost y,Avg Sum rotation cost x,Avg Sum rotation cost y
0,AE_R1,0.26422742009162903,22.558303833007812,8.531455039978027,6.408973899980386,4.966479328150551,0.0,0.0,0.0,0.0
1,AE_R2,0.2291683703660965,22.058881759643555,6.5948662757873535,6.012378837913275,5.266542073339224,0.0,0.0,0.0,0.0
2,AE_R3,0.3595865070819855,42.060604095458984,6.311276912689209,5.029044300317764,4.591327586521705,0.0,0.0,0.0,0.0
3,AE_R4,0.3122800886631012,23.25612449645996,6.628213405609131,5.251076065624754,4.012240681176384,0.0,0.0,0.0,0.0
4,AE_R5,0.3011800944805145,21.394451141357422,5.479573726654053,4.91116599428157,4.05075583839789,0.0,0.0,0.0,0.0
5,AE+MoE_R1,0.011075055226683617,0.06759835034608841,10.534198760986328,5.54078234732151,5.016027156884472,271.7037048339844,28.90018081665039,695.9234008789062,563.1328125
6,AE+LSTM_R1,0.045928243547677994,0.028214171528816223,11.13901424407959,13.120446228732666,5.016027156884472,268.6368713378906,28.90018081665039,700.4601440429688,563.1328125
7,RBF-CAT+LSTM_R1,0.046641044318675995,0.03115522675216198,9.091169357299805,12.172496985644102,5.016027156884472,275.8553161621094,28.90018081665039,705.1652221679688,563.1328125
8,RBF-IN+LSTM_R1,0.0662342980504036,0.03108316659927368,10.113205909729004,10.559591359148422,5.016027156884472,276.2917175292969,28.90018081665039,703.7619018554688,563.1328125
9,RBF-CAT+MoE_R1,0.011424876749515533,0.05639252811670303,9.004868507385254,5.472381811589003,5.016027156884472,280.2894592285156,28.90018081665039,697.2291259765625,563.1328125
10,RBF-IN+MoE_R1,0.05278952047228813,0.05051175132393837,11.364015579223633,5.742629698167245,5.016027156884472,272.85302734375,28.90018081665039,689.3427734375,563.1328125
11,VAE-CAT+LSTM_R1,0.048232439905405045,0.027782587334513664,9.812638282775879,15.271110209325949,5.016027156884472,276.40118408203125,28.90018081665039,705.8084716796875,563.1328125
12,VAE-IN+LSTM_R1,0.061856940388679504,0.04227151349186897,11.248641014099121,19.177868865430355,5.016027156884472,274.6473693847656,28.90018081665039,703.9930419921875,563.1328125
13,VAE-CAT+MoE_R1,0.01568947546184063,0.07200151681900024,8.820317268371582,9.607673525810242,5.016027156884472,277.3861389160156,28.90018081665039,697.2479858398438,563.1328125
14,VAE-IN+MoE_R1,0.03103736788034439,0.058712251484394073,10.817817687988281,30.04457301894824,5.016027156884472,277.4229431152344,28.90018081665039,702.5948486328125,563.1328125
15,DEC-CAT+MoE_R1,0.02876041643321514,0.05449473112821579,10.160163879394531,5.944753246381879,5.016027156884472,270.1129150390625,28.90018081665039,690.5870361328125,563.1328125
16,DEC-IN+MoE_R1,0.05180714651942253,0.03983720391988754,9.457191467285156,6.264788277447224,5.016027156884472,277.32379150390625,28.90018081665039,695.078369140625,563.1328125
17,AE+MoE_R2,0.023792317137122154,0.14782939851284027,5.381155014038086,8.44644104068478,5.4864660284171505,183.5357208251953,54.02789306640625,364.928955078125,426.0121154785156
18,AE+LSTM_R2,0.04888390377163887,0.1582229733467102,4.330836772918701,19.588186127444107,5.4864660284171505,175.4474334716797,54.02789306640625,367.6187438964844,426.0121154785156
19,RBF-CAT+LSTM_R2,0.04874470829963684,0.1573905199766159,4.476956367492676,16.30420467754205,5.4864660284171505,175.06398010253906,54.02789306640625,368.6517028808594,426.0121154785156
20,RBF-IN+LSTM_R2,0.08049452304840088,0.16365796327590942,5.093886375427246,18.396411980191868,5.4864660284171505,179.18841552734375,54.02789306640625,366.0874938964844,426.0121154785156
21,RBF-CAT+MoE_R2,0.017641954123973846,0.1545022577047348,5.0326409339904785,8.421402430782715,5.4864660284171505,189.19525146484375,54.02789306640625,404.9525451660156,426.0121154785156
22,RBF-IN+MoE_R2,0.04718877375125885,0.15616367757320404,4.5757646560668945,11.671920182804266,5.4864660284171505,182.00352478027344,54.02789306640625,350.163818359375,426.0121154785156
23,VAE-CAT+LSTM_R2,0.04345352202653885,0.16219423711299896,4.470856189727783,18.785267300903797,5.4864660284171505,175.92710876464844,54.02789306640625,369.771484375,426.0121154785156
24,VAE-IN+LSTM_R2,0.07419921457767487,0.1622433215379715,4.506267070770264,26.55259369065364,5.4864660284171505,177.4017791748047,54.02789306640625,360.3680419921875,426.0121154785156
25,VAE-CAT+MoE_R2,0.011677151545882225,0.15449456870555878,5.1228413581848145,9.995839876433214,5.4864660284171505,173.49391174316406,54.02789306640625,393.9248962402344,426.0121154785156
26,VAE-IN+MoE_R2,0.03635307773947716,0.1538897603750229,5.373198986053467,32.61515216032664,5.4864660284171505,184.75726318359375,54.02789306640625,376.3609924316406,426.0121154785156
27,DEC-CAT+MoE_R2,0.03776673227548599,0.15484599769115448,4.669745445251465,9.512720768650373,5.4864660284171505,162.47572326660156,54.02789306640625,376.349853515625,426.0121154785156
28,DEC-IN+MoE_R2,0.05963236838579178,0.1588822901248932,5.90547513961792,14.889379260440668,5.4864660284171505,190.25599670410156,54.02789306640625,371.322509765625,426.0121154785156
29,AE+MoE_R3,0.010470862500369549,0.5708864331245422,5.8259596824646,9.160758671661219,5.063893073238432,162.361572265625,132.47946166992188,738.2874755859375,747.9495239257812
30,AE+LSTM_R3,0.02908739633858204,0.40382805466651917,8.81121826171875,21.19223479429881,5.063893073238432,157.8671417236328,132.47946166992188,733.800048828125,747.9495239257812
