,M1,M2,M3,M4
M1,0.8748400807380676,0.8721719980239868,0.8749244809150696,0.8758490085601807
M2,0.7884443998336792,0.7875019907951355,0.7873355150222778,0.7809256315231323
M3,0.8145891427993774,0.8142805695533752,0.8161464333534241,0.820208728313446
M4,0.81026291847229,0.8145281672477722,0.8129134774208069,0.8166099786758423
