,M1,M2,M3,M4
M1,0.0012171609560027719,0.0037239687517285347,0.004097942728549242,0.0038542496040463448
M2,0.0037239687517285347,0.0011129247723147273,0.003852367401123047,0.0037119167391210794
M3,0.004097942728549242,0.003852367401123047,0.0014088999014347792,0.004138813819736242
M4,0.0038542496040463448,0.0037119167391210794,0.004138813819736242,0.0013770662480965257
