,M1,M2,M3,M4
M1,1.901920199394226,1.9460464715957642,1.931510329246521,1.938578486442566
M2,1.9460464715957642,1.9340945482254028,1.92401921749115,1.9608741998672485
M3,1.931510329246521,1.92401921749115,1.9073480367660522,1.939849853515625
M4,1.938578486442566,1.9608741998672485,1.939849853515625,1.921059250831604
