,Raw,Frozen,Trained
recon_error,"(40.98, 0.0)","(69.1, 0.0)","(67.4, 0.038)"
adv_error,"(100.19, 0.0)","(105.0, 0.0)","(104.12, 0.0)"
rot_error,"(105.87, 0.0)","(129.37, 0.0)","(126.18, 0.0)"
delta_rot,"(111.92, 0.09)","(103.97, 0.02)","(105.0, 0.008)"
