,Raw,Frozen,Trained
recon_error,"(63.2, 0.0)","(81.66, 0.0)","(97.45, 0.0)"
adv_error,"(81.63, 0.0)","(92.35, 0.0)","(94.49, 0.001)"
rot_error,"(88.35, 0.0)","(90.9, 0.0)","(94.98, 0.208)"
delta_rot,"(259.67, 0.0)","(127.69, 0.167)","(111.81, 0.034)"
