,Raw,Frozen,Trained
recon_error,"(49.32, 0.0)","(78.16, 0.0)","(85.35, 0.003)"
adv_error,"(103.13, 0.0)","(102.61, 0.0)","(106.18, 0.0)"
rot_error,"(114.04, 0.0)","(129.42, 0.0)","(140.39, 0.0)"
delta_rot,"(63.81, 0.0)","(87.16, 0.048)","(104.94, 0.0)"
