,Frozen,Trained
recon_error,"(98.18, 0.0)","(145.41, 0.0)"
adv_error,"(96.9, 0.0)","(106.07, 0.238)"
rot_error,"(94.55, 0.226)","(111.2, 0.07)"
delta_rot,"(66.84, 0.0)","(78.49, 0.0)"
