,Frozen,Trained
recon_error,"(102.76, 0.048)","(118.7, 0.0)"
adv_error,"(112.94, 0.0)","(114.53, 0.0)"
rot_error,"(99.66, 0.001)","(107.57, 0.0)"
delta_rot,"(64.54, 0.0)","(66.62, 0.0)"
