,Raw,Frozen,Trained
recon_error,"(94.38, 0.041)","(96.99, 0.043)","(106.08, 0.269)"
adv_error,"(93.71, 0.0)","(98.77, 0.0)","(102.21, 0.0)"
rot_error,"(128.56, 0.0)","(126.79, 0.0)","(133.7, 0.0)"
delta_rot,"(172.68, 0.0)","(106.35, 0.0)","(105.04, 0.0)"
