,recon_error,delta_rot
Raw_vs_Frozen,3.898e-62,1.761e-03
Raw_vs_Trained,1.175e-12,2.094e-01
Frozen_vs_Trained,8.439e-01,1.118e-02
All,1.481e-67,1.440e-06
