,Raw,Frozen,Trained
recon_error,"(79.26, 0.0)","(80.03, 0.069)","(114.51, 0.0)"
adv_error,"(90.51, 0.014)","(87.04, 0.067)","(95.39, 0.271)"
rot_error,"(89.79, 0.009)","(83.46, 0.0)","(98.22, 0.0)"
delta_rot,"(138.35, 0.785)","(89.98, 0.009)","(103.73, 0.993)"
