,Raw,Frozen,Trained
recon_error,"(91.07, 0.0)","(91.48, 0.0)","(107.1, 0.025)"
adv_error,"(86.76, 0.0)","(96.27, 0.599)","(98.2, 0.781)"
rot_error,"(92.55, 0.872)","(91.43, 0.0)","(98.89, 0.107)"
delta_rot,"(183.5, 0.0)","(105.28, 0.0)","(111.1, 0.992)"
