,Frozen,Trained
recon_error,"(198.31, 0.0)","(184.09, 0.0)"
adv_error,"(108.17, 0.0)","(107.91, 0.001)"
rot_error,"(126.17, 0.0)","(124.48, 0.0)"
delta_rot,"(92.56, 0.002)","(96.05, 0.209)"
