,Frozen,Trained
recon_error,"(103.99, 0.927)","(114.8, 0.005)"
adv_error,"(112.96, 0.034)","(114.04, 0.0)"
rot_error,"(100.0, 0.674)","(103.87, 0.001)"
delta_rot,"(62.72, 0.0)","(62.95, 0.0)"
