,Raw,Frozen,Trained
recon_error,"(48.76, 0.0)","(78.43, 0.0)","(87.41, 0.018)"
adv_error,"(95.73, 0.0)","(94.79, 0.024)","(99.51, 0.207)"
rot_error,"(80.34, 0.0)","(91.52, 0.005)","(98.04, 0.151)"
delta_rot,"(61.05, 0.0)","(84.23, 0.0)","(101.13, 0.081)"
