,Frozen,Trained
recon_error,"(171.43, 0.0)","(166.63, 0.0)"
adv_error,"(107.63, 0.0)","(106.47, 0.0)"
rot_error,"(122.57, 0.0)","(120.62, 0.0)"
delta_rot,"(93.68, 0.001)","(96.56, 0.407)"
