,Raw,Frozen,Trained
recon_error,"(92.04, 0.0)","(94.97, 0.0)","(103.04, 0.02)"
adv_error,"(87.76, 0.0)","(96.67, 0.001)","(98.79, 0.146)"
rot_error,"(92.15, 0.406)","(91.47, 0.513)","(95.0, 0.01)"
delta_rot,"(168.08, 0.0)","(97.49, 0.984)","(98.61, 0.001)"
